id,district,district_name,building_type,category,center_m,lot_size_m,footprint_m,rotation_deg,nearest_road,entrance_side,floors,layout_id,base_plan,footprint_shape,floorplan_family,bedrooms,bathrooms,entrance_offset,window_pattern,stair_pattern,roof,facade,palette,feature,condition,room_twist,design_signature,visual_signature,status
P001,Z01,西北森林与湖泊,rural_outbuilding,rural,"[144.3, 265.6]","[53.8, 50.2]","[31.2, 29.1]",0,R04,北,1,L001,N001,错位双矩形,rural_outbuilding-功能分区-01,0,1,0.16,转角窗组,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,火灾熏黑,车库内门,rural_outbuilding:001:037,"rural_outbuilding|错位双矩形|rural_outbuilding-功能分区-01|0|1|0.16|转角窗组|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[31.2, 29.1]|车库内门",planned
P002,Z01,西北森林与湖泊,forest_cabin,residential,"[314.3, 260.4]","[29.6, 31.1]","[18.4, 19.3]",0,R04,北,1,L002,H001,矩形,L形动线,2,1,-0.01,凸窗组合,无楼梯,双坡,蓝灰木板,砖红,前廊,屋顶轻损,前置客厅,forest_cabin:002:074,"forest_cabin|矩形|L形动线|2|1|-0.01|凸窗组合|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[18.4, 19.3]|前置客厅",planned
P003,Z01,西北森林与湖泊,detached_house,residential,"[49.5, 205.6]","[34.7, 40.8]","[21.5, 25.3]",0,R04,南,1,L003,H002,L形左翼,环形动线,3,2,-0.18,前一侧二,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,杂草侵占,独立餐厅,detached_house:003:111,"detached_house|L形左翼|环形动线|3|2|-0.18|前一侧二|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[21.5, 25.3]|独立餐厅",planned
P004,Z01,西北森林与湖泊,forest_cabin,residential,"[214.5, 289.8]","[33.8, 36.3]","[21.0, 22.5]",90,R09,南,1,L004,H003,L形右翼,开放核心,2,1,0.3,窄窗组合,无楼梯,双坡,蓝灰木板,浅青,前廊,维护良好,车库内门,forest_cabin:004:148,"forest_cabin|L形右翼|开放核心|2|1|0.3|窄窗组合|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[21.0, 22.5]|车库内门",planned
P005,Z01,西北森林与湖泊,forest_cabin,residential,"[224.6, 236.7]","[31.3, 43.2]","[19.4, 26.8]",0,R04,北,1,L005,H004,前凸形,纵深串联,1,1,0.13,前二侧一,无楼梯,带前廊双坡,浅黄灰泥,砖红,前廊,火灾熏黑,前置客厅,forest_cabin:005:185,"forest_cabin|前凸形|纵深串联|1|1|0.13|前二侧一|无楼梯|带前廊双坡|浅黄灰泥|砖红|前廊|1|[19.4, 26.8]|前置客厅",planned
P006,Z01,西北森林与湖泊,forest_cabin,residential,"[284.0, 152.2]","[34.3, 41.1]","[21.3, 25.5]",0,R04,南,1,L006,H005,后凸形,中央走廊,2,1,-0.04,转角窗组,无楼梯,双坡,蓝灰木板,松绿,前廊,屋顶轻损,独立餐厅,forest_cabin:006:222,"forest_cabin|后凸形|中央走廊|2|1|-0.04|转角窗组|无楼梯|双坡|蓝灰木板|松绿|前廊|1|[21.3, 25.5]|独立餐厅",planned
P007,Z01,西北森林与湖泊,forest_cabin,residential,"[282.6, 58.0]","[24.6, 40.5]","[15.3, 25.1]",0,R05,东,1,L007,H006,主屋加侧翼,前厅分流,1,1,-0.21,凸窗组合,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,杂草侵占,车库内门,forest_cabin:007:259,"forest_cabin|主屋加侧翼|前厅分流|1|1|-0.21|凸窗组合|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[15.3, 25.1]|车库内门",planned
P008,Z01,西北森林与湖泊,forest_cabin,residential,"[90.9, 215.3]","[33.2, 34.4]","[20.6, 21.3]",0,R04,南,1,L008,H007,错位双矩形,双区分隔,2,1,0.27,前一侧二,无楼梯,双坡,蓝灰木板,砖红,前廊,维护良好,前置客厅,forest_cabin:008:296,"forest_cabin|错位双矩形|双区分隔|2|1|0.27|前一侧二|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[20.6, 21.3]|前置客厅",planned
P009,Z01,西北森林与湖泊,special,special,"[212.9, 188.8]","[51.7, 43.4]","[35.1, 29.5]",0,R04,南,1,L009,N002,L形左翼,special-功能分区-02,0,1,0.1,窄窗组合,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,火灾熏黑,独立餐厅,special:009:333,"special|L形左翼|special-功能分区-02|0|1|0.1|窄窗组合|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[35.1, 29.5]|独立餐厅",planned
P010,Z01,西北森林与湖泊,rural_outbuilding,rural,"[238.1, 120.5]","[38.2, 48.5]","[22.2, 28.1]",0,R04,南,1,L010,N003,T形,rural_outbuilding-功能分区-03,0,1,-0.07,前二侧一,无楼梯,双坡,蓝灰木板,浅青,前廊,屋顶轻损,车库内门,rural_outbuilding:010:370,"rural_outbuilding|T形|rural_outbuilding-功能分区-03|0|1|-0.07|前二侧一|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[22.2, 28.1]|车库内门",planned
